M01081	17.8198005695
MA0164	1.85637063788
MA0163	1.95039702094
MA0161	-0.0
MA0160	23.2170658307
M00472	3.72087149764
M00473	3.85948632405
M00478	9.9146395314
M00277	287.944271126
M00378	0.422030732745
M00373	18.9186918835
M00278	2.3943935909
M01590	1.21573876744
M01591	6.90610277721
M01592	0.117545736745
M01596	11.5627531112
M01598	7.65524508411
MC00032	52.9559150358
MC00033	4.92728670068
MC00030	330.262939403
MC00031	40.1777280925
MC00036	24.0611127613
MC00037	2.62047853904
MC00034	2.90437530768
MC00035	43.3056868092
MC00038	32.4752649793
hPDI159	0.441877254137
UP00031	20.8241770049
UP00064	31.7522102094
hPDI019	5.61785326567
M00518	2.77849906822
M01798	0.986193512282
M01796	1.23698939314
hPDI011	444.268849125
hPDI010	103.552057829
hPDI017	140.36424923
M00515	7.32498605643
M00514	44.7347504426
M01150	24.2665649984
M01151	7.20730286367
M01153	21.9131554643
M01010	1.23394533746
EN0032	7.78315900809
EN0033	2.37065496428
MA0046	8.63207909272
MA0040	3.73215913404
MA0041	35.13688721
MA0048	179.841026431
M00717	12.2071810227
M00159	61.2320285546
UP00038	35.456255688
M00155	19.6816754994
MC00047	551.710249653
MC00046	8.59510964024
MC00045	3.64872327049
MC00044	969.319417041
MC00043	13.5312463562
MC00042	51.3342928872
MC00041	1.11550705625
MC00040	3.97137903401
M00712	402.868990891
MC00049	310.389327444
MC00048	67.7483087246
M01703	0.605233044824
M01709	45.1446143799
M01334	6.86687991526
EN0265	11.3140636797
MA0081	182.701369053
UP00110	12.9351378655
UP00111	1.38290174743
UP00112	1.51740873832
UP00113	35.1240473653
UP00114	4.39202843327
UP00115	33.6414568486
hPDI125	3.57702332346
UP00117	1.03564783627
UP00118	42.4803770084
UP00119	1.99622691057
M00082	37.8179170993
M00085	10.4651701752
UP00058	6.64278356909
EN0400	22.0654608846
UP00003	15.213917792
UP00051	74.8082704427
MC00050	13.2889801742
UP00052	52.4380304753
UP00055	4.61729294035
UP00054	0.240174258088
UP00057	1.14856555759
UP00056	71.7872677288
UP00006	0.711950801853
MC00053	9.36648252463
M01209	0.433410592943
hPDI013	1.89885729837
UP00005	0.225864974646
M01207	342.925275143
UP00235	0.00161900355079
UP00234	26.9221189604
UP00237	31.4316519045
UP00236	15.3434882307
UP00231	7.0084181802
UP00230	1.5031877842
UP00233	1.80415491024
UP00238	31.048317971
M01230	1804.37884933
MA0156	229.096149916
MA0157	48.2765962066
MA0155	7.8352813762
UP00420	165.416734577
UP00421	175.009284198
UP00422	92.5004173646
MA0018	77.3362756363
MA0017	10.6808673066
MA0014	7.13098661521
M01116	7.72983748758
M01112	31.6094361947
M01118	23.6724746988
M01119	8.55681899295
M01299	12.4731830651
M00341	157.580221438
M01295	4.44465712368
M00248	20.719081251
M00422	30.0953010028
M00348	8.63464167006
M00420	0.170652527181
MC00008	27.3532227541
MA0125	1.63923102078
MA0080	86.7430120144
M00526	2.32739006101
MA0084	3.26416730292
hPDI018	12.3622803854
UP00030	13.4688836924
M01267	1082.08739933
hPDI163	12.5967954622
M00649	2.30481361767
M00648	67.3668991052
hPDI040	98.9655995554
MC00003	23.2985364348
MC00002	4.81320233348
MC00001	38.6754704145
M00640	7.20672981292
M00647	1.80578080956
hPDI166	37.1395046907
MC00005	3.78071476172
MC00004	139.9058296
M01748	2.84349722601
M01066	206.409882031
M01067	1.81529012874
M01069	3.19167034075
M01743	20.7338998853
M01742	6.87619105448
M01744	6.77502893576
M01747	5.77311312266
M00646	0.90748658414
UP00183	0.358774859808
UP00182	2.49823434139
UP00159	2.95990512081
M00289	3.91109712216
MC00039	14.2411884403
M00287	6.88347896742
M00737	1.9189713173
M00736	2.00327367916
M00733	20.0783960174
M00731	603.544101929
M00041	46.026631372
M00739	0.0716926551078
M00738	2.45672888325
UP00019	0.699006660929
UP00018	339.70434038
M00639	29.4750127212
UP00014	95.9154707022
UP00017	3.92367333697
UP00011	220.54603097
MA0442	1521.36902598
UP00013	159.248227263
UP00012	25.0094977577
EN0196	5.59212995118
EN0199	2.02141183349
M00632	0.089308084601
M01364	3.31036637087
M01248	2.13812312064
M01249	16.8064094331
M01244	20.8306172349
M01245	8.95511071456
M01247	4.99774320546
M01241	11.7862524646
M01242	2.26824459711
M01243	26.5850225314
M01450	2.74712680919
M01453	16.4499079769
M01458	37.1472669366
M00821	366.999064025
M01694	80.5167152559
EN0252	17.6436156011
M00947	0.434227844826
M00983	441.902561033
EN0257	23.3950034539
EN0255	11.1844357955
UP00169	61.5951952637
UP00168	43.6392504456
UP00080	8.48912614712
UP00081	20.5616655156
UP00086	339.747660684
UP00087	1.38128682081
UP00084	13.0817563102
UP00085	764.668355633
UP00161	7.75898317373
UP00163	18.2059974035
UP00162	12.9792177569
UP00164	7.93844469691
UP00167	20.7422448912
UP00166	10.7969500603
MA0112	6.61525623714
hPDI191	107.265971408
MA0116	9.29027827837
M00467	9.93315548156
M00466	30.2857704379
M00465	26.6313604314
M00464	23.0817396384
EN0339	104.964558341
M01399	44.5956206846
M00260	15.3609562325
M00262	3.49482836026
MA0146	15.1792341282
M01390	0.914006092553
MC00009	4.719094049
M01395	12.5975542266
M01589	1.09578038779
EN0037	9.38669291226
UP00266	22.6989755612
UP00267	15.4392994869
UP00264	2.02013054883
M00806	2.81042935388
UP00262	69.8420417094
UP00263	9.46474973023
UP00260	20.8382918984
UP00261	5.75290485801
MA0024	2.03571189203
MA0025	7.38080077469
hPDI009	1.89885729862
M01020	20.3847579474
M01783	12.4621401187
M00416	13.3917673073
